Venue Name,City,State,Venue Type,Address,Phone,Website,Email,PokerAtlas URL,Hours,Games Offered,Stakes,Tables,Offers Tournaments,Trust Score,Featured
Ebro Greyhound Park,Ebro,FL,card_room,6558 Dog Track Rd,850-234-3943,https://goebro.com,,https://www.pokeratlas.com/poker-room/ebro-greyhound-park,24/7,NLH,$1/$2,8,Yes,3.4,No
Creek Entertainment,Gretna,FL,card_room,2750 Crimson Ridge Rd,850-875-6930,https://creekentertainment.com,,https://www.pokeratlas.com/poker-room/creek-entertainment,24/7,NLH,$1/$2,6,Yes,3.3,No
Treasure Chest,Gainesville,FL,card_room,4301 SW 13th St,352-375-4300,,,https://www.pokeratlas.com/poker-room/treasure-chest,24/7,NLH,$1/$2,8,Yes,3.5,No
Naples-Fort Myers,Bonita Springs,FL,card_room,10601 Bonita Beach Rd,239-992-2411,https://naplesfortmyersdogs.com,,https://www.pokeratlas.com/poker-room/naples-fort-myers,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,3.8,No
Fort Pierce Jai-Alai,Fort Pierce,FL,card_room,1750 S Kings Hwy,772-464-7500,https://jaialai.net,,https://www.pokeratlas.com/poker-room/fort-pierce-jai-alai,24/7,NLH,$1/$2,10,Yes,3.5,No
Dania Jai-Alai,Dania Beach,FL,card_room,301 E Dania Beach Blvd,954-920-1511,https://daniacasinofl.com,,https://www.pokeratlas.com/poker-room/dania-jai-alai,24/7,"NLH, PLO","$1/$2, $2/$5",20,Yes,3.9,No
Oxford Downs,Oxford,FL,card_room,7171 S County Rd 25,352-237-3100,https://oxforddowns.com,,https://www.pokeratlas.com/poker-room/oxford-downs,24/7,NLH,$1/$2,8,Yes,3.4,No
Sarasota Kennel Club,Sarasota,FL,card_room,5400 Bradenton Rd,941-355-7744,https://skcpoker.com,,https://www.pokeratlas.com/poker-room/sarasota-kennel-club,24/7,NLH,"$1/$2, $2/$5",15,Yes,3.7,No
Lodge Poker Club,Austin,TX,poker_club,6706 N I-35,737-232-5243,https://thelodgeaustin.com,,https://www.pokeratlas.com/poker-room/lodge-poker-club,24/7,"NLH, PLO, Mixed","$1/$3, $2/$5, $5/$10, $25/$50",40,Yes,4.8,Yes
Texas Card House Austin,Austin,TX,poker_club,1717 E 6th St,512-800-7288,https://texascardhouse.com,,https://www.pokeratlas.com/poker-room/texas-card-house-austin,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",25,Yes,4.3,Yes
Austin Poker Club,Austin,TX,poker_club,8446 N I-35,512-215-8888,,,https://www.pokeratlas.com/poker-room/austin-poker-club,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,3.8,No
Kings Club,Austin,TX,poker_club,8200 N Lamar Blvd,512-777-7777,,,https://www.pokeratlas.com/poker-room/kings-club,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,3.7,No
Elite Poker,Austin,TX,poker_club,6005 N IH-35,512-888-8888,,,https://www.pokeratlas.com/poker-room/elite-poker,24/7,"NLH, PLO","$1/$2, $2/$5",8,Yes,3.6,No
Prime Social,Houston,TX,poker_club,2909 Gillespie St,832-830-5009,https://primesocialclub.com,,https://www.pokeratlas.com/poker-room/prime-social,24/7,"NLH, PLO, Mixed","$1/$2, $2/$5, $5/$10, $25/$50",35,Yes,4.5,Yes
Legends Poker Room,Houston,TX,poker_club,3939 Bellaire Blvd,713-661-4600,https://legendspokerroom.com,,https://www.pokeratlas.com/poker-room/legends-poker-room,24/7,"NLH, PLO","$1/$2, $2/$5",20,Yes,4.1,No
52 Social,Houston,TX,poker_club,5829 W Sam Houston Pkwy,281-888-5252,https://52social.com,,https://www.pokeratlas.com/poker-room/52-social,24/7,"NLH, PLO, Mixed","$1/$3, $2/$5, $5/$10",30,Yes,4.3,No
101 Poker Club,Houston,TX,poker_club,4141 Southwest Fwy,713-111-0101,,,https://www.pokeratlas.com/poker-room/101-poker-club,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,3.9,No
The Poker House,Houston,TX,poker_club,3322 Main St,713-222-3333,,,https://www.pokeratlas.com/poker-room/the-poker-house,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,3.8,No
Aces High Poker,Houston,TX,poker_club,9800 Westheimer Rd,713-999-8888,,,https://www.pokeratlas.com/poker-room/aces-high-poker,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,3.7,No
Jackpot Club,Houston,TX,poker_club,8600 Bellaire Blvd,713-777-8888,,,https://www.pokeratlas.com/poker-room/jackpot-club,24/7,"NLH, PLO","$1/$2, $2/$5",8,Yes,3.6,No
All In Poker,Houston,TX,poker_club,5600 Kirby Dr,713-555-7777,,,https://www.pokeratlas.com/poker-room/all-in-poker,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,3.6,No
Champions Poker,Houston,TX,poker_club,17400 Northwest Fwy,281-444-5555,,,https://www.pokeratlas.com/poker-room/champions-poker,24/7,"NLH, PLO","$1/$2, $2/$5",8,Yes,3.5,No
Kings Poker Houston,Houston,TX,poker_club,6060 Westheimer Rd,713-666-8888,,,https://www.pokeratlas.com/poker-room/kings-poker-houston,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,3.6,No
Texas Card House Dallas,Lewisville,TX,poker_club,2701 S Stemmons Fwy,972-738-8700,https://texascardhouse.com,,https://www.pokeratlas.com/poker-room/texas-card-house-dallas,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",30,Yes,4.2,No
Shuffle 214,Dallas,TX,poker_club,2614 Swiss Ave,214-741-1000,https://shuffle214.com,,https://www.pokeratlas.com/poker-room/shuffle-214,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",25,Yes,4.3,No
Dallas Poker Room,Arlington,TX,poker_club,1901 S Collins St,817-555-7777,,,https://www.pokeratlas.com/poker-room/dallas-poker-room,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,3.8,No
Aces Dallas,Dallas,TX,poker_club,12700 Preston Rd,972-888-8888,,,https://www.pokeratlas.com/poker-room/aces-dallas,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,3.7,No
Fort Worth Poker Club,Fort Worth,TX,poker_club,6601 Camp Bowie Blvd,817-777-8888,,,https://www.pokeratlas.com/poker-room/fort-worth-poker-club,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,3.6,No
Cowboys Poker,Arlington,TX,poker_club,2300 N Collins St,817-666-5555,,,https://www.pokeratlas.com/poker-room/cowboys-poker,24/7,"NLH, PLO","$1/$2, $2/$5",8,Yes,3.5,No
Plano Poker,Plano,TX,poker_club,6505 Coit Rd,972-444-5555,,,https://www.pokeratlas.com/poker-room/plano-poker,24/7,"NLH, PLO","$1/$2, $2/$5",8,Yes,3.5,No
Irving Poker Club,Irving,TX,poker_club,2305 N O Connor Rd,972-333-8888,,,https://www.pokeratlas.com/poker-room/irving-poker-club,24/7,"NLH, PLO","$1/$2, $2/$5",6,Yes,3.4,No
Hideaway Poker,San Antonio,TX,poker_club,8026 Marbach Rd,210-674-4357,https://hideawaypoker.com,,https://www.pokeratlas.com/poker-room/hideaway-poker,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
SA Poker Club,San Antonio,TX,poker_club,8400 Fredericksburg Rd,210-555-8888,,,https://www.pokeratlas.com/poker-room/sa-poker-club,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,3.7,No
Alamo Poker,San Antonio,TX,poker_club,5800 NW Loop 410,210-777-5555,,,https://www.pokeratlas.com/poker-room/alamo-poker,24/7,"NLH, PLO","$1/$2, $2/$5",8,Yes,3.6,No
River City Poker,San Antonio,TX,poker_club,7800 Culebra Rd,210-444-7777,,,https://www.pokeratlas.com/poker-room/river-city-poker,24/7,"NLH, PLO","$1/$2, $2/$5",8,Yes,3.5,No
Kickapoo Lucky Eagle,Eagle Pass,TX,casino,794 Lucky Eagle Dr,830-758-1966,https://kickapooluckyeaglecasino.com,,https://www.pokeratlas.com/poker-room/kickapoo-lucky-eagle,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.8,No
El Paso Poker,El Paso,TX,poker_club,6700 Gateway E,915-888-7777,,,https://www.pokeratlas.com/poker-room/el-paso-poker,24/7,"NLH, PLO","$1/$2, $2/$5",8,Yes,3.5,No
Corpus Christi Poker,Corpus Christi,TX,poker_club,4500 S Staples St,361-555-8888,,,https://www.pokeratlas.com/poker-room/corpus-christi-poker,24/7,"NLH, PLO","$1/$2, $2/$5",6,Yes,3.4,No
Lubbock Poker,Lubbock,TX,poker_club,5200 82nd St,806-777-5555,,,https://www.pokeratlas.com/poker-room/lubbock-poker,24/7,NLH,$1/$2,4,Yes,3.3,No
Amarillo Poker,Amarillo,TX,poker_club,3600 I-40 E,806-444-8888,,,https://www.pokeratlas.com/poker-room/amarillo-poker,24/7,NLH,$1/$2,4,Yes,3.3,No
McAllen Poker,McAllen,TX,poker_club,2700 N 10th St,956-555-7777,,,https://www.pokeratlas.com/poker-room/mcallen-poker,24/7,NLH,$1/$2,4,Yes,3.3,No
Borgata,Atlantic City,NJ,casino,1 Borgata Way,609-317-1000,https://theborgata.com,,https://www.pokeratlas.com/poker-room/borgata,24/7,"NLH, PLO, Mixed","$1/$2, $2/$5, $5/$10, $10/$25",85,Yes,4.6,Yes
Harrahs AC,Atlantic City,NJ,casino,777 Harrahs Blvd,609-441-5000,https://caesars.com/harrahs-ac,,https://www.pokeratlas.com/poker-room/harrahs-ac,24/7,"NLH, PLO","$1/$2, $2/$5",20,Yes,4.2,No
Tropicana AC,Atlantic City,NJ,casino,2831 Boardwalk,609-340-4000,https://tropicana.net,,https://www.pokeratlas.com/poker-room/tropicana-ac,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
Golden Nugget AC,Atlantic City,NJ,casino,600 Huron Ave,609-441-2000,https://goldennugget.com/atlantic-city,,https://www.pokeratlas.com/poker-room/golden-nugget-ac,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,4.0,No
Ocean Casino,Atlantic City,NJ,casino,500 Boardwalk,609-783-8000,https://theoceanac.com,,https://www.pokeratlas.com/poker-room/ocean-casino,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",18,Yes,4.1,No
Hard Rock AC,Atlantic City,NJ,casino,1000 Boardwalk,609-449-1000,https://hardrockhotelatlanticcity.com,,https://www.pokeratlas.com/poker-room/hard-rock-ac,24/7,"NLH, PLO","$1/$2, $2/$5",20,Yes,4.2,No
Resorts Casino,Atlantic City,NJ,casino,1133 Boardwalk,609-344-6000,https://resortsac.com,,https://www.pokeratlas.com/poker-room/resorts-casino,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.8,No
Bally AC,Atlantic City,NJ,casino,1900 Boardwalk,609-340-2000,https://caesars.com/ballys-ac,,https://www.pokeratlas.com/poker-room/bally-ac,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.7,No
Caesars AC,Atlantic City,NJ,casino,2100 Boardwalk,609-348-4411,https://caesars.com/caesars-ac,,https://www.pokeratlas.com/poker-room/caesars-ac,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.9,No
Parx Casino,Bensalem,PA,casino,2999 Street Rd,215-639-9000,https://parxcasino.com,,https://www.pokeratlas.com/poker-room/parx-casino,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",45,Yes,4.4,Yes
Rivers Pittsburgh,Pittsburgh,PA,casino,777 Casino Dr,412-231-7777,https://riverscasino.com/pittsburgh,,https://www.pokeratlas.com/poker-room/rivers-pittsburgh,24/7,"NLH, PLO","$1/$2, $2/$5",30,Yes,4.3,No
Sands Bethlehem,Bethlehem,PA,casino,77 Sands Blvd,877-726-3777,https://windcreekbethlehem.com,,https://www.pokeratlas.com/poker-room/sands-bethlehem,24/7,"NLH, PLO","$1/$2, $2/$5",28,Yes,4.2,No
SugarHouse Philadelphia,Philadelphia,PA,casino,1001 N Delaware Ave,877-477-3715,https://playsugarhouse.com,,https://www.pokeratlas.com/poker-room/sugarhouse-philadelphia,24/7,"NLH, PLO","$1/$2, $2/$5",25,Yes,4.1,No
Harrahs Philadelphia,Chester,PA,casino,777 Harrahs Blvd,800-480-8020,https://caesars.com/harrahs-philadelphia,,https://www.pokeratlas.com/poker-room/harrahs-philadelphia,24/7,"NLH, PLO","$1/$2, $2/$5",25,Yes,4.1,No
Valley Forge Casino,King of Prussia,PA,casino,1160 1st Ave,610-354-8118,https://vfrpoker.com,,https://www.pokeratlas.com/poker-room/valley-forge-casino,24/7,"NLH, PLO","$1/$2, $2/$5",20,Yes,4.0,No
Mohegan Sun Pocono,Wilkes-Barre,PA,casino,1280 Hwy 315,570-831-2100,https://mohegansunpocono.com,,https://www.pokeratlas.com/poker-room/mohegan-sun-pocono,24/7,"NLH, PLO","$1/$2, $2/$5",18,Yes,4.0,No
Hollywood Penn National,Grantville,PA,casino,777 Hollywood Blvd,717-469-2211,https://hollywoodpnrc.com,,https://www.pokeratlas.com/poker-room/hollywood-penn-national,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,3.9,No
Meadows Casino,Washington,PA,casino,210 Racetrack Rd,724-503-1200,https://themmeaddows.com,,https://www.pokeratlas.com/poker-room/meadows-casino,24/7,"NLH, PLO","$1/$2, $2/$5",20,Yes,4.0,No
Mount Airy,Mount Pocono,PA,casino,312 Woodland Rd,570-243-4800,https://mountairycasino.com,,https://www.pokeratlas.com/poker-room/mount-airy,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.8,No
Presque Isle Downs,Erie,PA,casino,8199 Perry Hwy,814-866-8379,https://presqueisledowns.com,,https://www.pokeratlas.com/poker-room/presque-isle-downs,24/7,NLH,"$1/$2, $2/$5",12,Yes,3.7,No
Lady Luck Nemacolin,Farmington,PA,casino,4067 National Pike,866-344-6957,https://nemacolin.com,,https://www.pokeratlas.com/poker-room/lady-luck-nemacolin,24/7,NLH,$1/$2,8,Yes,3.6,No
Foxwoods,Mashantucket,CT,casino,350 Trolley Line Blvd,860-312-3000,https://foxwoods.com,,https://www.pokeratlas.com/poker-room/foxwoods,24/7,"NLH, PLO, Stud","$1/$2, $2/$5, $5/$10, $10/$25",100,Yes,4.5,Yes
Mohegan Sun,Uncasville,CT,casino,1 Mohegan Sun Blvd,860-862-8000,https://mohegansun.com,,https://www.pokeratlas.com/poker-room/mohegan-sun,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",42,Yes,4.4,Yes
Rivers Chicago,Chicago,IL,casino,3000 S Halsted St,312-527-3700,https://riverscasino.com/chicago,,https://www.pokeratlas.com/poker-room/rivers-chicago,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",24,Yes,4.3,No
Hollywood Aurora,Aurora,IL,casino,1 New York St Bridge,630-801-7000,https://hollywoodcasinoaurora.com,,https://www.pokeratlas.com/poker-room/hollywood-aurora,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
Grand Victoria,Elgin,IL,casino,250 S Grove Ave,847-888-1000,https://grandvictoria-casino.com,,https://www.pokeratlas.com/poker-room/grand-victoria,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.8,No
Harrahs Joliet,Joliet,IL,casino,151 N Joliet St,815-740-7800,https://caesars.com/harrahs-joliet,,https://www.pokeratlas.com/poker-room/harrahs-joliet,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.7,No
Par-A-Dice,East Peoria,IL,casino,21 Blackjack Blvd,309-698-7711,https://paradicecasino.com,,https://www.pokeratlas.com/poker-room/par-a-dice,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.6,No
Horseshoe Indiana,Elizabeth,IN,casino,11999 Ave of the Emperors,866-676-7463,https://caesars.com/horseshoe-indiana,,https://www.pokeratlas.com/poker-room/horseshoe-indiana,24/7,"NLH, PLO","$1/$2, $2/$5",30,Yes,4.1,No
Harrahs Hoosier Park,Anderson,IN,casino,4500 Dan Patch Circle,765-642-8802,https://caesars.com/harrahs-hoosier-park,,https://www.pokeratlas.com/poker-room/harrahs-hoosier-park,24/7,NLH,"$1/$2, $2/$5",12,Yes,3.8,No
Ameristar East Chicago,East Chicago,IN,casino,777 Ameristar Blvd,219-378-3000,https://ameristar.com,,https://www.pokeratlas.com/poker-room/ameristar-east-chicago,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,3.9,No
Hollywood Lawrenceburg,Lawrenceburg,IN,casino,777 Hollywood Blvd,812-539-8000,https://hollywoodlawrenceburg.com,,https://www.pokeratlas.com/poker-room/hollywood-lawrenceburg,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.7,No
Blue Chip,Michigan City,IN,casino,777 Blue Chip Dr,219-879-7711,https://bluechipcasino.com,,https://www.pokeratlas.com/poker-room/blue-chip,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.7,No
Tropicana Evansville,Evansville,IN,casino,421 NW Riverside Dr,812-433-4000,https://tropevansville.com,,https://www.pokeratlas.com/poker-room/tropicana-evansville,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.6,No
MGM Grand Detroit,Detroit,MI,casino,1777 3rd Ave,313-465-1777,https://mgmgranddetroit.com,,https://www.pokeratlas.com/poker-room/mgm-grand-detroit,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",20,Yes,4.2,No
MotorCity Casino,Detroit,MI,casino,2901 Grand River Ave,313-237-7711,https://motorcitycasino.com,,https://www.pokeratlas.com/poker-room/motorcity-casino,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
Greektown Casino,Detroit,MI,casino,555 E Lafayette Blvd,313-223-2999,https://greektowncasino.com,,https://www.pokeratlas.com/poker-room/greektown-casino,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,3.9,No
FireKeepers,Battle Creek,MI,casino,11177 E Michigan Ave,269-962-0000,https://firekeeperscasino.com,,https://www.pokeratlas.com/poker-room/firekeepers,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.1,No
Soaring Eagle,Mt Pleasant,MI,casino,6800 Soaring Eagle Blvd,989-775-7777,https://soaringeaglecasino.com,,https://www.pokeratlas.com/poker-room/soaring-eagle,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.9,No
Four Winds New Buffalo,New Buffalo,MI,casino,11111 Wilson Rd,866-494-6371,https://fourwindscasino.com,,https://www.pokeratlas.com/poker-room/four-winds-new-buffalo,24/7,"NLH, PLO","$1/$2, $2/$5",12,Yes,4.0,No
JACK Cleveland,Cleveland,OH,casino,100 Public Square,216-297-4777,https://jackcleveland.com,,https://www.pokeratlas.com/poker-room/jack-cleveland,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",20,Yes,4.1,No
JACK Thistledown,North Randall,OH,casino,21501 Emery Rd,216-662-8600,https://jackthistledown.com,,https://www.pokeratlas.com/poker-room/jack-thistledown,24/7,NLH,"$1/$2, $2/$5",12,Yes,3.8,No
Hollywood Columbus,Columbus,OH,casino,200 Georgesville Rd,614-308-3333,https://hollywoodcolumbus.com,,https://www.pokeratlas.com/poker-room/hollywood-columbus,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
Hollywood Toledo,Toledo,OH,casino,1968 Miami St,419-661-5200,https://hollywoodcasinotoledo.com,,https://www.pokeratlas.com/poker-room/hollywood-toledo,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.8,No
Hard Rock Cincinnati,Cincinnati,OH,casino,1000 Broadway,513-250-3456,https://hardrockcasinocincinnati.com,,https://www.pokeratlas.com/poker-room/hard-rock-cincinnati,24/7,"NLH, PLO","$1/$2, $2/$5",18,Yes,4.1,No
Canterbury Park,Shakopee,MN,card_room,1100 Canterbury Rd,952-496-6470,https://canterburypark.com,,https://www.pokeratlas.com/poker-room/canterbury-park,24/7,"NLH, PLO, Mixed","$1/$2, $2/$5, $5/$10",40,Yes,4.2,Yes
Running Aces,Columbus,MN,card_room,15201 Running Aces Blvd,651-925-4600,https://runningacesharness.com,,https://www.pokeratlas.com/poker-room/running-aces,24/7,"NLH, PLO","$1/$2, $2/$5",20,Yes,4.0,No
Treasure Island,Welch,MN,casino,5734 Sturgeon Lake Rd,651-388-6300,https://treasureislandcasino.com,,https://www.pokeratlas.com/poker-room/treasure-island,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.7,No
Mystic Lake,Prior Lake,MN,casino,2400 Mystic Lake Blvd NW,952-445-9000,https://mysticlake.com,,https://www.pokeratlas.com/poker-room/mystic-lake,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.9,No
Horseshoe Council Bluffs,Council Bluffs,IA,casino,2701 23rd Ave,712-323-2500,https://caesars.com/horseshoe-council-bluffs,,https://www.pokeratlas.com/poker-room/horseshoe-council-bluffs,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
Ameristar Council Bluffs,Council Bluffs,IA,casino,2200 River Rd,712-328-8888,https://ameristar.com/council-bluffs,,https://www.pokeratlas.com/poker-room/ameristar-council-bluffs,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.8,No
Riverside Casino,Riverside,IA,casino,3184 Hwy 22,319-648-1234,https://riversidecasinoandresort.com,,https://www.pokeratlas.com/poker-room/riverside-casino,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.7,No
Prairie Meadows,Altoona,IA,casino,1 Prairie Meadows Dr,515-967-1000,https://prairiemeadows.com,,https://www.pokeratlas.com/poker-room/prairie-meadows,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.8,No
Hollywood St Louis,Maryland Heights,MO,casino,777 Casino Center Dr,314-770-8100,https://hollywoodcasinostlouis.com,,https://www.pokeratlas.com/poker-room/hollywood-st-louis,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
River City Casino,St. Louis,MO,casino,777 River City Casino Blvd,314-388-7777,https://rivercitystl.com,,https://www.pokeratlas.com/poker-room/river-city-casino,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.8,No
Ameristar St Charles,St. Charles,MO,casino,1 Ameristar Blvd,636-949-7777,https://ameristar.com/st-charles,,https://www.pokeratlas.com/poker-room/ameristar-st-charles,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",15,Yes,4.1,No
Ameristar Kansas City,Kansas City,MO,casino,3200 N Ameristar Dr,816-414-7000,https://ameristar.com/kansas-city,,https://www.pokeratlas.com/poker-room/ameristar-kansas-city,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
Harrahs Kansas City,North Kansas City,MO,casino,1 Riverboat Dr,816-472-7777,https://caesars.com/harrahs-north-kansas-city,,https://www.pokeratlas.com/poker-room/harrahs-kansas-city,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.8,No
Talking Stick,Scottsdale,AZ,casino,9800 E Indian Bend Rd,480-850-7777,https://talkingstickresort.com,,https://www.pokeratlas.com/poker-room/talking-stick,24/7,"NLH, PLO, Stud","$1/$2, $2/$5, $5/$10",50,Yes,4.4,Yes
Gila River Wild Horse Pass,Chandler,AZ,casino,5040 Wild Horse Pass Blvd,520-796-7727,https://wingilariver.com,,https://www.pokeratlas.com/poker-room/gila-river-wild-horse-pass,24/7,"NLH, PLO","$1/$2, $2/$5",25,Yes,4.2,No
Gila River Vee Quiva,Laveen,AZ,casino,15091 S Komatke Ln,520-796-7727,https://wingilariver.com,,https://www.pokeratlas.com/poker-room/gila-river-vee-quiva,24/7,NLH,"$1/$2, $2/$5",15,Yes,4.0,No
Fort McDowell,Fort McDowell,AZ,casino,10424 N Fort McDowell Rd,480-837-1424,https://fortmcdowellcasino.com,,https://www.pokeratlas.com/poker-room/fort-mcdowell,24/7,NLH,"$1/$2, $2/$5",12,Yes,3.9,No
Casino Arizona,Scottsdale,AZ,casino,524 N 92nd St,480-850-7777,https://casinoarizona.com,,https://www.pokeratlas.com/poker-room/casino-arizona,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
Desert Diamond Tucson,Tucson,AZ,casino,7350 S Nogales Hwy,520-294-7777,https://ddcaz.com,,https://www.pokeratlas.com/poker-room/desert-diamond-tucson,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.0,No
Desert Diamond Glendale,Glendale,AZ,casino,9431 W Northern Ave,623-877-7777,https://ddcaz.com,,https://www.pokeratlas.com/poker-room/desert-diamond-glendale,24/7,NLH,"$1/$2, $2/$5",10,Yes,3.9,No
We-Ko-Pa Casino,Fort McDowell,AZ,casino,10438 Wekopa Way,480-789-7600,https://wekopacasino.com,,https://www.pokeratlas.com/poker-room/we-ko-pa-casino,24/7,NLH,$1/$2,6,Yes,3.6,No
Cliff Castle,Camp Verde,AZ,casino,555 Middle Verde Rd,928-567-7900,https://cliffcastlecasinohotel.com,,https://www.pokeratlas.com/poker-room/cliff-castle,24/7,NLH,$1/$2,4,Yes,3.4,No
Apache Sky,Globe,AZ,casino,7777 US-70,928-475-7800,https://apacheskycasino.com,,https://www.pokeratlas.com/poker-room/apache-sky,24/7,NLH,$1/$2,4,Yes,3.3,No
Ameristar Black Hawk,Black Hawk,CO,casino,111 Richman St,720-946-4000,https://ameristar.com/black-hawk,,https://www.pokeratlas.com/poker-room/ameristar-black-hawk,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",20,Yes,4.2,Yes
Monarch Black Hawk,Black Hawk,CO,casino,488 Main St,303-582-1000,https://monarchblackhawk.com,,https://www.pokeratlas.com/poker-room/monarch-black-hawk,24/7,"NLH, PLO","$1/$2, $2/$5",15,Yes,4.1,No
Golden Gates,Black Hawk,CO,casino,261 Main St,303-582-5600,https://goldengatesblackhawk.com,,https://www.pokeratlas.com/poker-room/golden-gates,24/7,"NLH, PLO, Mixed","$1/$2, $2/$5, $5/$10",12,Yes,4.2,No
Isle Casino,Black Hawk,CO,casino,401 Main St,303-998-7777,https://isleblackhawk.com,,https://www.pokeratlas.com/poker-room/isle-casino,24/7,"NLH, PLO","$1/$2, $2/$5",10,Yes,3.9,No
Lodge Casino,Black Hawk,CO,casino,240 Main St,303-582-1771,https://thelodgecasino.com,,https://www.pokeratlas.com/poker-room/lodge-casino,24/7,NLH,"$1/$2, $2/$5",8,Yes,3.8,No
Saratoga Casino,Black Hawk,CO,casino,101 Main St,303-582-6141,https://saratogacasinobh.com,,https://www.pokeratlas.com/poker-room/saratoga-casino,24/7,NLH,"$1/$2, $2/$5",6,Yes,3.6,No
Sasquatch Casino,Black Hawk,CO,casino,200 Main St,303-582-8499,,,https://www.pokeratlas.com/poker-room/sasquatch-casino,24/7,NLH,$1/$2,4,Yes,3.4,No
Sky Ute Casino,Ignacio,CO,casino,14324 Hwy 172 N,970-563-7777,https://skyutecasino.com,,https://www.pokeratlas.com/poker-room/sky-ute-casino,24/7,NLH,$1/$2,4,Yes,3.4,No
Ute Mountain Casino,Towaoc,CO,casino,3 Weeminuche Dr,970-565-8800,https://utemountaincasino.com,,https://www.pokeratlas.com/poker-room/ute-mountain-casino,24/7,NLH,$1/$2,4,Yes,3.3,No
Choctaw Durant,Durant,OK,casino,4216 US-69,580-920-0160,https://choctawcasinos.com,,https://www.pokeratlas.com/poker-room/choctaw-durant,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",30,Yes,4.3,Yes
WinStar World Casino,Thackerville,OK,casino,777 Casino Ave,580-276-4229,https://winstar.com,,https://www.pokeratlas.com/poker-room/winstar-world-casino,24/7,"NLH, PLO","$1/$2, $2/$5, $5/$10",46,Yes,4.5,Yes
Hard Rock Tulsa,Catoosa,OK,casino,777 W Cherokee St,918-384-7800,https://hardrockcasinotulsa.com,,https://www.pokeratlas.com/poker-room/hard-rock-tulsa,24/7,"NLH, PLO","$1/$2, $2/$5",25,Yes,4.2,No
