VENUE,WEBSITE,ADDRESS,CITY,STATE,PHONE,TYPE,TOURNAMENTS,PokerAtlasURL,HOURS
Grand Sierra Resort,grandsierraresort.com,2500 E 2nd St,Reno,NV,(800) 648-5080,Casino,No,https://www.pokeratlas.com/poker-room/grand-sierra-reno,11:00am - TBD Sun/Sat; 9:00am - TBD Mon-Thu; 11:00am - TBD Fri
Nugget Casino Resort,nuggetcasinoresort.com,1100 Nugget Ave,Sparks,NV,(800) 648-1177,Casino,No,https://www.pokeratlas.com/poker-room/ja-nugget-reno-sparks,Not available
Rainbow Hotel Casino,wendoverfun.com,1045 Wendover Blvd,West Wendover,NV,(800) 217-0049,Casino,No,https://www.pokeratlas.com/poker-room/rainbow-casino-west-wendover,Not available
Mesquite Gaming (CasaBlanca),casablancaresort.com,950 W Mesquite Blvd,Mesquite,NV,(877) 438-2929,Casino,No,https://www.pokeratlas.com/poker-room/casablanca-mesquite,Not available
Eureka Casino Resort,eurekamesquite.com,275 Mesa Blvd,Mesquite,NV,(702) 346-4600,Casino,No,https://www.pokeratlas.com/poker-room/eureka-mesquite,Not available
Filotimo Casino Manchester,filotimocasino.com,1279 S Willow St,Manchester,NH,(603) 668-6591,Casino,No,https://www.pokeratlas.com/poker-room/manchester-poker,8:00am - 1:00am Sun-Wed; 8:00am - 4:00am Thu-Sat
Filotimo Casino Dover,filotimocasino.com,887 Central Ave,Dover,NH,(603) 742-9632,Casino,No,https://www.pokeratlas.com/poker-room/revo-casino-social-house-dover,10:00am - 1:00am Sun-Thu; 10:00am - 2:00am Fri-Sat
Gate City Casino,gatecitycasino.com,55 Northeastern Blvd,Nashua,NH,(603) 943-7333,Casino,No,https://www.pokeratlas.com/poker-room/gate-city-nashua,9:00am - 1:00am Sun-Thu; 9:00am - 2:00am Fri-Sat
The River Casino,therivercasino.com,53 High St,Nashua,NH,(603) 881-5555,Casino,No,https://www.pokeratlas.com/poker-room/the-river-casino-nashua,Not available
Lakes Region Casino,lakesregioncasino.com,1265 Laconia Rd,Belmont,NH,(603) 527-8316,Casino,No,https://www.pokeratlas.com/poker-room/lakes-region-casino-belmont,12:00pm - 10:00pm Sun-Tue; 12:00pm - 1:00am Wed-Sat
Concord Casino,concordcasinonh.com,67 S Main St,Concord,NH,(603) 228-2882,Casino,No,https://www.pokeratlas.com/poker-room/concord-casino,Not available
Revo Casino - Conway,revocasino.com,1601 White Mountain Hwy,Conway,NH,(603) 447-6007,Casino,No,https://www.pokeratlas.com/poker-room/revo-casino-social-house-conway,8:00am - 1:00am Sun-Thu; 8:00am - 2:00am Fri-Sat
Revo Casino - Keene,revocasino.com,172 Emerald St,Keene,NH,(603) 357-6033,Casino,No,https://www.pokeratlas.com/poker-room/revo-casino-social-house-keene,10:00am - 1:00am Sun-Thu; 10:00am - 2:00am Fri-Sat
Revo Casino - Lebanon,revocasino.com,369 Miracle Mile,Lebanon,NH,(603) 448-7777,Casino,No,https://www.pokeratlas.com/poker-room/lebanon-poker-room,8:00am - 1:00am daily
Borgata Hotel Casino,theborgata.com,1 Borgata Way,Atlantic City,NJ,(609) 317-1000,Casino,No,https://www.pokeratlas.com/poker-room/borgata-atlantic-city,24/7
Harrah's Atlantic City,caesars.com,777 Harrah's Blvd,Atlantic City,NJ,(609) 441-5000,Casino,No,https://www.pokeratlas.com/poker-room/harrahs-ac-atlantic-city,TBD - 6:00am Sun; 11:00am - 6:00am Mon/Tue; 11:00am - 4:00am Wed/Thu; 11:30am - TBD Fri; All Day Sat
Sandia Resort & Casino,sandiacasino.com,30 Rainbow Rd,Albuquerque,NM,(505) 796-7500,Casino,No,https://www.pokeratlas.com/poker-room/sandia-poker-room-albuquerque,8:00am - 2:00am Sun/Fri/Sat; 8:00am - 12:00am Mon-Thu
Isleta Resort & Casino,isleta.com,11000 Broadway Blvd SE,Albuquerque,NM,(505) 724-3800,Casino,No,https://www.pokeratlas.com/poker-room/isleta-casino-albuquerque,9:00am - 2:00am Sun-Thu; 9:00am - 4:00am Fri-Sat
Route 66 Casino Hotel,rt66casino.com,14500 Central Ave SW,Albuquerque,NM,(505) 352-7866,Casino,No,https://www.pokeratlas.com/poker-room/route-66-casino-albuquerque,Not available
Buffalo Thunder Resort,hiltonbuffalothunder.com,20 Buffalo Thunder Trl,Santa Fe,NM,(505) 455-5555,Casino,No,https://www.pokeratlas.com/poker-room/buffalo-thunder-santa-fe,Not available
Santa Ana Star Casino,santaanastar.com,54 Jemez Canyon Dam Rd,Bernalillo,NM,(505) 867-0000,Casino,No,https://www.pokeratlas.com/poker-room/santa-ana-star-bernalillo,Not available
Turning Stone Resort,turningstone.com,5218 Patrick Rd,Verona,NY,(800) 771-7711,Casino,Yes,https://www.pokeratlas.com/poker-room/turning-stone-verona,24/7
Resorts World Catskills,rwcatskills.com,888 Resorts World Dr,Monticello,NY,(833) 586-9358,Casino,Yes,https://www.pokeratlas.com/poker-room/resorts-world-catski-monticello,All Day Mon-Thu; 10:00am - 2:00am Tue-Thu; All Day Fri-Sun
Rivers Casino Schenectady,riverscasino.com,1 Rush St,Schenectady,NY,(518) 579-8800,Casino,Yes,https://www.pokeratlas.com/poker-room/rivers-schenectady,10:00am - 2:00am Sun-Wed; 10:00am - 3:00am Thu-Sat
del Lago Resort & Casino,dellagoresort.com,1133 NY-414,Waterloo,NY,(315) 946-1777,Casino,No,https://www.pokeratlas.com/poker-room/del-lago-waterloo,9:00am - 2:00am Mon/Thu; 9:00am - 4:00am Fri/Sat; closed Tue/Wed
Tioga Downs Casino,tiogadowns.com,2384 W River Rd,Nichols,NY,(888) 946-8464,Casino,No,https://www.pokeratlas.com/poker-room/tioga-downs-nichols,10:00am - 2:00am Sun/Wed-Sat; closed Mon/Tue
Seneca Niagara Casino,senecaniagaracasino.com,310 4th St,Niagara Falls,NY,(877) 873-6322,Casino,No,https://www.pokeratlas.com/poker-room/seneca-niagara-niagara-falls,Not available
Harrah's Cherokee,caesars.com,777 Casino Dr,Cherokee,NC,(828) 497-7777,Casino,Yes,https://www.pokeratlas.com/poker-room/harrahs-cherokee,10:00am - 6:00am daily
Dakota Magic Casino,dakotamagic.com,16849 102nd St SE,Hankinson,ND,(800) 325-6825,Casino,No,https://www.pokeratlas.com/poker-room/dakota-magic-hankinson,Not available
Sky Dancer Casino,skydancercasino.com,3965 Sky Dancer Way,Belcourt,ND,(701) 244-2400,Casino,No,https://www.pokeratlas.com/poker-room/sky-dancer-casino-belcourt,12:00pm - TBD Sun/Sat; 4:00pm - TBD Mon/Wed/Fri; closed Tue/Thu
4 Bears Casino,4bearscasino.com,202 Frontage Rd,New Town,ND,(800) 294-5454,Casino,No,https://www.pokeratlas.com/poker-room/4-bears-new-town,6:00pm - TBD Wed-Fri; 2:00pm - TBD Sat; closed Sun-Tue
Hard Rock Cincinnati,hardrockcasinocincinnati.com,1000 Broadway St,Cincinnati,OH,(513) 252-0777,Casino,Yes,https://www.pokeratlas.com/poker-room/hard-rock-cincinnati,24/7
Hollywood Columbus,hollywoodcolumbus.com,200 Georgesville Rd,Columbus,OH,(614) 308-3333,Casino,Yes,https://www.pokeratlas.com/poker-room/hollywood-columbus,10:00am - 4:00am daily
Hollywood Toledo,hollywoodcasinotoledo.com,1968 Miami St,Toledo,OH,(419) 661-5200,Casino,No,https://www.pokeratlas.com/poker-room/hollywood-toledo,11:00am - 12:00am Sun; 12:00pm - 12:00am Mon-Thu; 11:00am - 1:00am Fri/Sat
JACK Cleveland Casino,jackentertainment.com,100 Public Sq,Cleveland,OH,(216) 297-4777,Casino,Yes,https://www.pokeratlas.com/poker-room/jack-cleveland,9:00am - 4:00am daily
Choctaw Casino Durant,choctawcasinos.com,4216 S Hwy 69,Durant,OK,(580) 920-0160,Casino,Yes,https://www.pokeratlas.com/poker-room/choctaw-durant,24/7
WinStar World Casino,winstar.com,777 Casino Ave,Thackerville,OK,(800) 622-6317,Casino,Yes,https://www.pokeratlas.com/poker-room/winstar-casino-thackerville,24/7
Hard Rock Tulsa,hardrockcasinotulsa.com,777 W Cherokee St,Catoosa,OK,(800) 760-6700,Casino,Yes,https://www.pokeratlas.com/poker-room/hard-rock-tulsa-catoosa,12:00pm - 3:00am Sun-Thu; 12:00pm - 4:00am Fri-Sat
River Spirit Casino,riverspirittulsa.com,8330 Riverside Pkwy,Tulsa,OK,(888) 748-3731,Casino,Yes,https://www.pokeratlas.com/poker-room/river-spirit-casino-tulsa,10:00am - 3:00am daily
Downstream Casino,downstreamcasino.com,69300 E Nee Rd,Quapaw,OK,(918) 919-6000,Casino,No,https://www.pokeratlas.com/poker-room/downstream-casino-quapaw,10:00am - 4:00am daily
Grand Casino Hotel,grandresortok.com,777 Grand Casino Blvd,Shawnee,OK,(405) 964-7777,Casino,No,https://www.pokeratlas.com/poker-room/grand-casino-shawnee,9:00am - 1:30am Wed/Thu; 9:00am - 4:00am Fri/Sat; closed Sun-Tue
Indigo Sky Casino,indigoskycasino.com,70220 US-60,Wyandotte,OK,(888) 992-7591,Casino,No,https://www.pokeratlas.com/poker-room/indigo-sky-casino-wyandotte,10:00am - 3:30am Wed-Sat; 10:00am - 12:00am Sun; closed Mon/Tue
Riverwind Casino,riverwind.com,1544 OK-9,Norman,OK,(405) 322-6000,Casino,No,https://www.pokeratlas.com/poker-room/riverwind-casino-norman,9:00am - 3:00am daily
Osage Casino Tulsa,osagecasino.com,951 W 36th St N,Tulsa,OK,(877) 246-8777,Casino,No,https://www.pokeratlas.com/poker-room/osage-tulsa,Temporarily closed (check current status)
Comanche Nation Casino,comanchenationcasinos.com,402 SE Interstate Dr,Lawton,OK,(580) 354-2000,Casino,No,https://www.pokeratlas.com/poker-room/comanche-nation-lawton,Not available
Spirit Mountain Casino,spiritmountain.com,27100 SW Salmon River Hwy,Grand Ronde,OR,(503) 879-2350,Casino,No,https://www.pokeratlas.com/poker-room/spirit-mountain-grand-ronde,Not available
Chinook Winds Casino,chinookwindscasino.com,1777 NW 44th St,Lincoln City,OR,(888) 244-6665,Casino,No,https://www.pokeratlas.com/poker-room/chinook-winds-lincoln-city,Not available
Three Rivers Casino,threeriverscasino.com,5647 OR-126,Florence,OR,(541) 997-7529,Casino,No,https://www.pokeratlas.com/poker-room/three-rivers-florence,12:00pm - TBD Sun/Thu-Sat; closed Mon-Wed
Seven Feathers Casino Resort,sevenfeathers.com,146 Chief Miwaleta Ln,Canyonville,OR,(800) 548-8461,Casino,No,https://www.pokeratlas.com/poker-room/seven-feathers-canyonville,Not available
Parx Casino,parxcasino.com,2999 Street Rd,Bensalem,PA,(888) 588-7279,Casino,Yes,https://www.pokeratlas.com/poker-room/parx-casino-bensalem,24/7
Rivers Casino Philadelphia,riverscasino.com,1001 N Delaware Ave,Philadelphia,PA,(877) 477-3715,Casino,Yes,https://www.pokeratlas.com/poker-room/rivers-philadelphia,24/7
Live! Casino Philadelphia,philadelphia.livecasinohotel.com,900 Packer Ave,Philadelphia,PA,(833) 472-5483,Casino,Yes,https://www.pokeratlas.com/poker-room/live-casino-philadelphia,24/7
Wind Creek Bethlehem,windcreek.com,77 Wind Creek Blvd,Bethlehem,PA,(484) 777-7777,Casino,Yes,https://www.pokeratlas.com/poker-room/wind-creek-bethlehem,24/7
Rivers Casino Pittsburgh,riverscasino.com,777 Casino Dr,Pittsburgh,PA,(412) 231-7777,Casino,Yes,https://www.pokeratlas.com/poker-room/rivers-casino-pittsburgh,TBD - 6:00am Sun; 10:00am - 6:00am Mon-Thu; 10:00am - TBD Fri; All Day Sat
Live! Casino Pittsburgh,pittsburgh.livecasinohotel.com,5260 US-30,Greensburg,PA,(878) 787-7770,Casino,No,https://www.pokeratlas.com/poker-room/live-casino-pittsburgh-greensburg,Not available
Mount Airy Casino,mountairycasino.com,312 Woodland Rd,Mount Pocono,PA,(877) 682-4791,Casino,Yes,https://www.pokeratlas.com/poker-room/mount-airy-casino-mt-pocono,24/7
Hollywood Casino Grantville,hollywoodpnrc.com,777 Hollywood Blvd,Grantville,PA,(717) 469-2211,Casino,Yes,https://www.pokeratlas.com/poker-room/hollywood-penn-natl-grantville,12:00pm - 2:00am Sun-Thu; 12:00pm - 4:00am Fri; 10:00am - 4:00am Sat
Hollywood Casino Meadows,hollywoodmeadows.com,210 Racetrack Rd,Washington,PA,(724) 503-1200,Casino,No,https://www.pokeratlas.com/poker-room/hollywood-meadows-washington,11:00am - 2:00am Sun; 1:00pm - 2:00am Mon-Thu; 11:00am - 4:00am Fri; All Day Sat
Bally's Twin River Lincoln,casinos.ballys.com,100 Twin River Rd,Lincoln,RI,(401) 723-3200,Casino,Yes,https://www.pokeratlas.com/poker-room/ballys-twin-river-lincoln,10:00am - 3:30am daily
Rivers Casino Portsmouth,riverscasino.com,3630 Victory Blvd,Portsmouth,VA,(757) 840-2100,Casino,No,https://www.pokeratlas.com/poker-room/rivers-casino-portsmouth,9:00am - 4:00am daily
Hard Rock Bristol,hardrockhotelcasinobristol.com,500 Gate City Hwy,Bristol,VA,(276) 696-3660,Casino,No,https://www.pokeratlas.com/poker-room/hard-rock-hotel-casino-bristol,24/7
Muckleshoot Casino,muckleshootcasino.com,2402 Auburn Way S,Auburn,WA,(800) 804-4944,Casino,Yes,https://www.pokeratlas.com/poker-room/muckleshoot-casino-auburn,Not available
Tulalip Resort Casino,tulalipresortcasino.com,10200 Quil Ceda Blvd,Tulalip,WA,(888) 272-1111,Casino,Yes,https://www.pokeratlas.com/poker-room/tulalip-casino-marysville,Not available
Last Frontier Casino,lastfrontiercasino.com,105 W 4th Ave,La Center,WA,(360) 575-1485,Casino,No,https://www.pokeratlas.com/poker-room/the-last-frontier-la-center,24/7
Palace Casino,thepalacecasino.com,8800 S Tacoma Way,Lakewood,WA,(253) 983-8400,Casino,No,https://www.pokeratlas.com/poker-room/palace-casino-lakewood,Not available
Chips Casino,chipscasinolakewood.com,10408 Pacific Hwy SW,Lakewood,WA,(253) 984-7222,Casino,No,https://www.pokeratlas.com/poker-room/chips-casino-lakewood,Not available
Snoqualmie Casino,snocasino.com,37500 SE North Bend Way,Snoqualmie,WA,(425) 888-1234,Casino,Yes,https://www.pokeratlas.com/poker-room/snoqualmie-casino,Not available
Northern Quest Casino,northernquest.com,100 N Hayford Rd,Airway Heights,WA,(877) 871-6772,Casino,Yes,https://www.pokeratlas.com/poker-room/northern-quest-airway-heights,11:00am - 2:00am daily
Black Pearl Casino,blackpearlspokane.com,2104 N Pines Rd,Spokane Valley,WA,(509) 290-5026,Casino,No,https://www.pokeratlas.com/poker-room/black-pearl-spokane,10:00am - TBD daily
Little Creek Casino,little-creek.com,91 W State Route 108,Shelton,WA,(800) 667-7711,Casino,No,https://www.pokeratlas.com/poker-room/little-creek-casino-shelton,10:00am - TBD daily
7 Cedars Casino,7cedars.com,270756 US-101,Sequim,WA,(360) 683-7777,Casino,No,https://www.pokeratlas.com/poker-room/7-cedars-sequim,6:00pm - TBD Sun/Thu-Sat; closed Mon-Wed
Swinomish Casino,swinomishcasinoandlodge.com,12885 Casino Dr,Anacortes,WA,(888) 288-8883,Casino,No,https://www.pokeratlas.com/poker-room/swinomish-casino-anacortes,Not available
Legends Casino,legendscasino.com,580 Fort Rd,Toppenish,WA,(509) 865-8800,Casino,No,https://www.pokeratlas.com/poker-room/legends-toppenish,4:00pm - TBD Wed-Sat; closed Sun-Tue
Crazy Moose Casino Pasco,crazymoosepasco.com,525 N 20th Ave,Pasco,WA,(509) 542-8566,Casino,No,https://www.pokeratlas.com/poker-room/crazy-moose-pasco,All Day Sun/Fri/Sat; 9:00am - 4:00am Mon-Thu
Joker's Casino,atomicbowl.com,624 Wellsian Way,Richland,WA,(509) 943-1173,Casino,No,https://www.pokeratlas.com/poker-room/jokers-casino-richland,12:00pm - 6:00am Sun/Sat; 1:00pm - 6:00am Mon-Fri
Wild Goose Casino,wildgoosecasino.com,1620 Canyon Rd,Ellensburg,WA,(509) 925-5626,Casino,No,https://www.pokeratlas.com/poker-room/wild-goose-casino-ellensburg,3:00pm - TBD Sun/Wed-Sat; closed Mon/Tue
Silver Dollar Casino (Renton),silverdollarcasino.com,3100 E Valley Rd,Renton,WA,(425) 226-2525,Casino,No,https://www.pokeratlas.com/poker-room/silver-dollar-renton,Not available
Silver Dollar Casino (SeaTac),silverdollarcasino.com,19222 International Blvd,SeaTac,WA,(206) 824-2347,Casino,No,https://www.pokeratlas.com/poker-room/silver-dollar-seattle,Not available
Roman Casino,romancasinowa.com,12140 Tukwila International Blvd,Tukwila,WA,(206) 722-2260,Casino,No,https://www.pokeratlas.com/poker-room/roman-casino,Not available
All Star Lanes & Casino,allstarlanescasino.com,10710 Silverdale Way NW,Silverdale,WA,(360) 692-5760,Casino,No,https://www.pokeratlas.com/poker-room/all-star-lanes-silverdale,10:00am - 4:00am daily
Lilac Lanes & Casino,lilaclanes.com,1112 E Magnesium Rd,Spokane,WA,(509) 467-5228,Casino,No,https://www.pokeratlas.com/poker-room/lilac-lanes-spokane,10:00am - TBD Mon-Fri; 11:00am - TBD Sat; 12:00pm - TBD Sun
Hollywood Charles Town,hollywoodcasinocharlestown.com,750 Hollywood Dr,Charles Town,WV,(800) 795-7001,Casino,No,https://www.pokeratlas.com/poker-room/hwood-charles-town,9:00am - 3:00am Sun/Wed; 9:00am - 6:00am Fri/Sat; closed Mon/Tue
Mardi Gras Casino,mardigrascasinowv.com,1 Greyhound Dr,Cross Lanes,WV,(800) 224-9683,Casino,No,https://www.pokeratlas.com/poker-room/mardi-gras-casino-nitro,4:00pm - 2:00am Wed/Thu; 1:00pm - 2:00am Fri/Sat; closed Sun-Tue
Potawatomi Casino Hotel,paysbig.com,1721 W Canal St,Milwaukee,WI,(800) 729-7244,Casino,Yes,https://www.pokeratlas.com/poker-room/potawatomi-casino-milwaukee,8:00am - 4:00am daily
Oneida Casino,oneidacasino.net,2020 Airport Dr,Green Bay,WI,(920) 494-4500,Casino,Yes,https://www.pokeratlas.com/poker-room/oneida-casino-green-bay,12:00pm - 4:00am Thu-Sat; closed Sun-Wed
Sevenwinds Casino,sevenwindscasino.com,13767 W County Rd B,Hayward,WI,(715) 634-5643,Casino,No,https://www.pokeratlas.com/poker-room/sevenwinds-hayward,Not available
Lake of the Torches,lakeofthetorches.com,510 Old Abe Rd,Lac Du Flambeau,WI,(800) 258-6724,Casino,No,https://www.pokeratlas.com/poker-room/lake-of-the-torches-lac-du-flambeau,Closed except Thu tournaments (registration 4pm start 6pm)
Wind River Casino,windriverhotelcasino.com,10269 WY-789,Riverton,WY,(307) 856-3964,Casino,No,https://www.pokeratlas.com/poker-room/wind-river-casino-riverton,Not available
101 Poker Club,101pokerclub.com,22410 Highland Knolls Dr,Katy,TX,(832) 913-6447,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/101-poker-club-katy,24/7
52 Pick Up Social,-,-,Caddo Mills,TX,-,Standalone Card Room,No,,Not available
9 Dragons,-,-,Houston,TX,-,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/9-dragons-houston,Not available
Ace 1 Social Club,-,-,Corpus Christi,TX,-,Standalone Card Room,No,,Not available
Ace Card Club,-,-,San Antonio,TX,-,Standalone Card Room,No,,Not available
Ace High Social,-,-,Burleson,TX,-,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/ace-high-social-burleson,Not available
Aggieland Poker Club,-,-,College Station,TX,-,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/aggieland-poker-club-college-station,Not available
Alamo Card House 2,alamocardhouse.com,3326 SE Military Dr,San Antonio,TX,(210) 900-2442,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/alamo-card-house-2-san-antonio,11:00am - 3:00am daily
Alpha Social Card Club,-,-,Wichita Falls,TX,-,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/alpha-social-card-club-wichita-falls,Not available
Amarillo Social Club,-,-,Amarillo,TX,-,Standalone Card Room,No,,Not available
Bluefelt El Paso Card Club,-,-,El Paso,TX,-,Standalone Card Room,No,,Not available
Broadway Social Club,-,-,Richmond,TX,-,Standalone Card Room,No,,Not available
Bullets Card Club,bulletscardclub.com,11900 Metric Blvd,Austin,TX,(512) 658-9488,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/bullets-card-club-austin,12:00pm - 5:00am daily
Comal Card Haus,-,-,New Braunfels,TX,-,Standalone Card Room,No,,Not available
Crossroads Card House,-,-,Victoria,TX,-,Standalone Card Room,No,,Not available
Doghouse Poker Club,-,-,Cypress,TX,-,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/doghouse-poker-club-cypress,10:00am - 4:00am daily
Elite Poker Lounge,-,-,McAllen,TX,-,Standalone Card Room,No,,Not available
Empire Poker Club,empirepokerclub.com,10815 W Sam Houston Pkwy N,Houston,TX,(832) 539-6593,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/empire-poker-club-houston,24/7
Fortune Poker Club,-,-,Houston,TX,-,Standalone Card Room,No,,Not available
Gin Mill Card Club Farwell,-,-,Farwell,TX,-,Standalone Card Room,No,,Not available
Gin Mill Card Club Lubbock,-,-,Lubbock,TX,-,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/gin-mill-card-club-lubbock,2:00pm - 4:00am Fri/Sat; 2:00pm - 12:00am Sun; 6:00pm - 2:00am Mon-Thu
House of Kings Card Club,-,-,El Paso,TX,-,Standalone Card Room,No,,Not available
Johny's Social Card Club,-,-,Wichita Falls,TX,-,Standalone Card Room,No,,Not available
Jokers of Aggieland Poker Club,-,-,College Station,TX,-,Standalone Card Room,No,,Not available
JokerStars Social Club,-,-,Houston,TX,-,Standalone Card Room,No,,Not available
Katy Poker,-,-,Katy,TX,-,Standalone Card Room,No,,Not available
KoJack's Poker Club,-,-,Midland,TX,-,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/kojack-s-poker-club-midland,Not available
Lodge Card Club Austin,thelodgepokerclub.com,1401 S IH 35 Frontage Rd,Round Rock,TX,(512) 614-4340,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/lodge-card-club-austin-round-rock,24/7
Lone Star Social,-,-,Cedar Park,TX,-,Standalone Card Room,No,,Not available
Lucky J Social Club,-,-,Houston,TX,-,Standalone Card Room,No,,Not available
Matador Poker House,-,-,Lubbock,TX,-,Standalone Card Room,No,,Not available
Oak Cliff Card Club,-,-,Dallas,TX,-,Standalone Card Room,No,,Not available
On The River Social Club,-,-,San Marcos,TX,-,Standalone Card Room,No,,Not available
Palace Poker,-,-,Grand Prairie,TX,-,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/palace-poker-grand-prairie,Not available
PH Social Club Dallas,-,-,Dallas,TX,-,Standalone Card Room,No,,Not available
Poker 1,-,-,Odessa,TX,-,Standalone Card Room,No,,Not available
Poker House Fort Worth,-,-,Burleson,TX,-,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/poker-house-fort-worth-burleson,9:00am - TBD daily
PrymeTyme Poker House,-,-,Canton,TX,-,Standalone Card Room,No,,Not available
Red Star Social,-,-,Austin,TX,-,Standalone Card Room,No,,Not available
River Rats Poker Club,-,-,Navasota,TX,-,Standalone Card Room,No,,Not available
Rustlers Poker Club,-,-,San Antonio,TX,-,Standalone Card Room,No,,Not available
SA Card House,sacardhouse.com,8407 Bandera Rd,San Antonio,TX,(210) 908-9669,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/sa-card-house-san-antonio,24/7
Shuffle 214,shuffle214.com,11411 E Northwest Hwy,Dallas,TX,(214) 295-8861,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/shuffle-214-dallas,10:00am - TBD daily
Shuffle 512,shuffle512.com,-,Austin,TX,-,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/shuffle-512-austin,11:00am - TBD daily
South Plains Social Club,-,-,Farwell,TX,-,Standalone Card Room,No,,Not available
Spades Poker House,spadespoker.com,302 W Bay Area Blvd,Webster,TX,(832) 284-4112,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/spades-poker-house-webster,24/7
Spades Poker House Baytown,-,-,Baytown,TX,-,Standalone Card Room,No,,Not available
Sportsbook Bishop Arts,-,-,Dallas,TX,-,Standalone Card Room,No,,Not available
Sun City Card Club,-,-,El Paso,TX,-,Standalone Card Room,No,,Not available
TCH Social Austin,texascardhouse.com,-,Austin,TX,-,Standalone Card Room,Yes,,Not available
TCH Social Las Colinas,texascardhouse.com,955 W John Carpenter Fwy,Irving,TX,(469) 206-0810,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/tch-social-las-colinas-irving,24/7
Texas Card House Dallas,texascardhouse.com,11824 Webb Chapel Rd,Dallas,TX,(214) 272-7808,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/texas-card-house-dallas,24/7
Texas Card House Houston,texascardhouse.com,1411 Spring Cypress Rd,Spring,TX,(281) 645-0010,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/texas-card-house-houston,24/7
Texas Card House Rio Grande Valley,texascardhouse.com,403 W Trento Rd,Edinburg,TX,(956) 386-1383,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/texas-card-house-rio-grande-valley-edinburg,9:00am - 6:00am daily
Texas Card House Spring,texascardhouse.com,-,Spring,TX,-,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/texas-card-house-spring,24/7
Texas Double Deuce Social Club,-,-,Burleson,TX,-,Standalone Card Room,No,,Not available
Texline Card House,-,-,Texarkana,TX,-,Standalone Card Room,No,,Not available
The Big Blind,-,-,San Antonio,TX,-,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/big-blind-san-antonio,Not available
The Club EPTX,-,-,El Paso,TX,-,Standalone Card Room,No,,Not available
The Desperado Club,-,-,Fort Worth,TX,-,Standalone Card Room,No,,Not available
The Fort Card Room,-,-,Aledo,TX,-,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/the-fort-card-room-aledo,9:00am - TBD daily
The Hangar Poker House,-,-,Humble,TX,-,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/hangar-poker-house-humble,Not available
The Office Card Room,-,-,San Antonio,TX,-,Standalone Card Room,No,,Not available
The River League,-,-,San Angelo,TX,-,Standalone Card Room,No,,Not available
The River Poker Club,-,-,Spring,TX,-,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/the-river-poker-club-spring,3:00pm - TBD daily
The Royal Card Club,-,-,Brownwood,TX,-,Standalone Card Room,No,,Not available
The Royal Card House of San Antonio,-,-,San Antonio,TX,-,Standalone Card Room,No,,Not available
The Speakeasy Card Room,-,-,Gordon,TX,-,Standalone Card Room,No,,Not available
The Wheel Social Club,-,-,Houston,TX,-,Standalone Card Room,No,,Not available
The White Rabbit,-,-,San Antonio,TX,-,Standalone Card Room,No,,Not available
VIP Social Club,-,-,Amarillo,TX,-,Standalone Card Room,No,,Not available
West Texas Card House,-,-,Lubbock,TX,-,Standalone Card Room,No,,Not available
Bankers Casino,bankerscasino.net,111 Monterey St,Salinas,CA,(831) 422-6666,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/bankers-casino-salinas,24/7
Oceanview Casino,-,-,Santa Cruz,CA,-,Standalone Card Room,No,,Not available
Outlaws Card Parlour,-,-,Atascadero,CA,-,Standalone Card Room,No,,Not available
Casino Monterey - The Marina Club,-,-,Marina,CA,-,Standalone Card Room,No,https://www.pokeratlas.com/poker-room/casino-monterey-the-marina-club,Not available
Bay 101 Casino,bay101.com,1788 N First St,San Jose,CA,(408) 451-8888,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/bay-101-san-jose,24/7
Oaks Card Club,oakscardclub.com,4097 San Pablo Ave,Emeryville,CA,(510) 653-4456,Standalone Card Room,Yes,https://www.pokeratlas.com/poker-room/oaks-card-club-emeryville,24/7
